Word	Activation	Evaluation	Imagery
a	-1.380115	0.132305	-2.170380
abandon	1.786400	-3.644431	0.538300
abandoned	0.408639	-2.509878	2.820747
abandonment	0.148749	-3.644431	-0.710102
abated	-1.702669	-0.155062	-1.340844
abilities	0.445416	2.250380	0.175072
ability	2.734141	2.763584	0.538300
able	-0.319455	0.669604	0.010639
abnormal	0.148749	-3.644431	0.538300
aboard	0.004722	-0.008248	1.861138
abolition	0.716846	-0.596989	-0.278153
abortion	4.972390	-3.644431	1.100322
about	-1.930160	-0.081564	-0.710102
above	-2.298518	0.669604	0.538300
abroad	-0.061624	2.983926	0.175072
abrupt	1.314201	-1.586861	0.538300
abruptly	0.797123	-2.509878	0.175072
abscess	-0.587968	-2.640437	0.010639
absence	-0.549348	-0.596989	1.100322
absent	-1.930160	-3.644431	0.010639
absolute	-1.046833	-0.155062	-0.278153
absolutely	-0.778214	-0.297432	-0.044999
absorb	-0.061624	-0.008248	0.175072
absorbed	-0.319455	-0.999857	0.010639
absorption	-0.211108	-0.019958	-0.278153
abstract	-1.046833	-0.155062	-0.044999
abstraction	-1.289890	-0.874088	-0.278153
absurd	-0.778214	-3.644431	0.175072
abundance	-0.549348	3.530636	2.820747
abuse	2.734141	-0.874088	2.820747
abusers	4.972390	-1.797865	1.100322
abusing	6.053469	-1.797865	1.100322
abusive	4.310702	-0.155062	0.538300
abut	-1.289890	-0.081564	-1.340844
academic	-0.778214	-0.008248	1.100322
academy	-0.319455	0.132305	2.820747
accelerated	2.287776	0.551470	2.820747
acceleration	2.734141	1.026312	0.538300
accept	-0.778214	1.887217	-0.044999
acceptable	-0.778214	0.012373	-0.710102
acceptance	-1.130421	2.250380	-0.278153
accepted	-1.702669	-0.155062	-0.044999
accepting	-2.032228	-0.596989	0.010639
access	0.036361	1.950814	0.538300
accident	1.786400	-3.644431	2.820747
accommodate	-0.114763	0.132305	0.538300
accompanied	0.797123	0.474057	0.538300
accompanying	0.445416	-0.000229	0.010639
accomplish	1.709964	4.277952	0.010639
accomplished	1.959874	3.948896	0.010639
accomplishments	1.160278	3.183455	0.538300
accordance	-0.549348	0.132305	-0.278153
according	-0.211108	-0.155062	-1.340844
accordingly	-1.437902	-0.008248	-0.710102
account	-0.778214	-0.297432	-0.044999
accounting	0.148749	-0.596989	0.538300
accounts	-0.061624	-0.417683	0.175072
accumulated	0.408639	0.001518	0.538300
accumulation	-0.395133	0.474057	0.175072
accuracy	0.148749	3.183455	-0.044999
accurate	0.408639	2.763584	0.175072
accurately	-0.093515	2.250380	-0.278153
accuse	0.900809	-3.644431	0.538300
accused	-0.114763	-3.644431	0.538300
accustomed	-3.490521	0.551470	-0.044999
ace	-2.032228	6.951213	1.100322
aced	0.559548	4.277952	0.175072
achieve	6.243345	5.683503	0.010639
achieved	5.828508	3.948896	0.010639
achievement	4.826465	4.277952	0.175072
achievements	4.972390	2.250380	0.010639
achieving	3.882810	4.760949	-0.278153
achy	1.314201	-3.644431	1.100322
acid	0.148749	-1.797865	2.820747
acknowledge	-2.298518	-0.008248	0.538300
acknowledged	-0.778214	0.474057	0.175072
acquainted	-0.778214	0.669604	0.175072
acquire	-0.319455	0.669604	1.861138
acquired	-0.114763	-0.041802	1.100322
acquiring	0.321180	0.603619	0.010639
acquisition	-0.211108	-0.000229	0.010639
acreage	-1.702669	-0.155062	0.175072
acres	-0.587968	0.132305	2.820747
across	-0.319455	0.132305	0.175072
act	1.959874	-0.081564	2.820747
acted	0.148749	-0.999857	0.010639
acting	2.365905	-0.041802	2.820747
action	6.967768	0.132305	1.100322
actions	7.344886	1.257212	0.175072
active	3.882810	1.620145	2.820747
actively	1.959874	1.789844	0.010639
activist	1.786400	0.669604	1.100322
activities	2.080232	1.257212	1.100322
activity	2.287776	3.530636	1.861138
actor	0.148749	1.620145	2.820747
actor's	1.359348	0.349300	0.010639
actors	1.514929	-0.000229	1.100322
acts	2.287776	0.551470	0.175072
actual	-2.298518	0.132305	-0.278153
actually	-1.046833	-0.155062	-0.278153
acute	-0.000019	-1.506035	0.538300
ad	-1.046833	0.551470	1.100322
adaptation	0.797123	-0.372557	0.175072
adapted	0.148749	0.132305	0.175072
add	-0.031595	0.132305	-0.044999
added	-0.211108	0.132305	0.010639
adding	0.017453	0.474057	0.010639
addition	-1.437902	-0.297432	0.538300
additional	-1.046833	-0.000229	-0.278153
addled	-1.437902	-0.008248	-1.340844
address	-0.287614	0.006343	1.861138
addressed	-0.287614	0.006343	-0.044999
addresses	-1.289890	-0.081564	0.010639
adds	-0.778214	0.669604	0.175072
adequate	-0.778214	0.669604	-0.278153
adequately	-0.395133	0.132305	-0.710102
adjacent	-1.289890	-0.081564	0.538300
adjoining	-0.287614	0.006343	0.175072
adjust	0.010809	-0.000229	-0.278153
adjusted	-0.014752	1.026312	0.175072
adjusting	-0.031595	-0.596989	0.175072
adjustment	0.148749	-0.297432	0.010639
adjustments	0.004722	-0.297432	0.175072
administered	-0.319455	-2.115523	0.010639
administration	-0.001370	0.012373	0.175072
administrative	-0.549348	-0.596989	-0.278153
administrator	-0.140645	-1.586861	0.538300
admirable	-0.211108	4.543310	1.861138
admiration	-0.031595	2.250380	-0.044999
admire	-0.395133	0.018621	1.861138
admired	-0.005671	4.277952	0.175072
admission	-0.287614	0.132305	0.010639
admit	-0.211108	-0.155062	0.538300
admitted	0.148749	0.132305	0.010639
adolescence	0.004722	-0.008248	1.861138
adolescent	0.148749	-0.999857	1.100322
adopt	3.220259	-0.000229	0.175072
adopted	2.734141	-0.081564	0.175072
adopting	5.232408	0.379756	0.010639
adoption	1.039588	-0.155062	0.175072
adoring	0.559548	4.277952	-0.278153
adrenaline	4.310702	1.257212	0.175072
ads	-3.195724	0.868498	0.010639
adult	0.337182	1.620145	1.861138
adults	0.004722	-0.008248	1.100322
advance	-0.114763	0.868498	0.010639
advanced	-0.140645	1.789844	0.010639
advancement	-0.031595	1.257212	-0.278153
advances	0.716846	2.250380	0.538300
advantage	0.408639	2.763584	0.175072
advantages	0.379670	2.250380	-0.278153
adventure	8.534390	5.096954	1.100322
adventures	6.243345	3.530636	0.538300
adverse	-0.319455	-0.999857	-1.340844
advertising	0.148749	0.132305	1.861138
advice	0.024083	2.250380	0.538300
advise	-0.450163	1.257212	0.538300
advised	0.408639	0.132305	0.010639
advisee	-0.395133	0.132305	0.175072
advisers	-0.093515	0.132305	0.538300
advisory	-0.140645	-0.372557	-1.340844
advocate	0.148749	0.868498	-0.044999
aesthetic	-1.702669	0.551470	-1.340844
affair	1.232379	-1.797865	0.538300
affairs	1.514929	-2.341412	0.538300
affect	0.000544	-0.041802	-0.278153
affected	-0.491564	0.132305	-0.044999
affection	1.039588	4.543310	0.010639
affects	0.017453	0.132305	-0.710102
affirm	0.000544	0.132305	-0.278153
affixed	-1.289890	-0.081564	-0.710102
affliction	-0.319455	-0.999857	-0.278153
afford	0.024083	1.478728	-0.044999
afforded	-0.114763	-0.041802	-0.044999
afraid	1.786400	-3.644431	1.100322
africa	-0.395133	0.474057	2.820747
african	-1.437902	0.132305	2.820747
after	-2.298518	-0.008248	-0.710102
after-thought	-1.130421	-0.041802	-0.710102
afternoon	-1.130421	1.950814	1.861138
afternoons	-0.549348	1.257212	1.861138
afterward	-1.702669	0.551470	-0.710102
afterwards	-1.508064	0.006343	-0.710102
again	-0.778214	-0.008248	-0.710102
against	-1.930160	-2.509878	0.010639
age	0.004722	-0.008248	0.010639
aged	-0.093515	-0.596989	0.175072
agencies	-0.549348	-0.000229	0.010639
agency	-0.005671	-0.041802	0.175072
agent	-2.298518	-0.297432	1.861138
agents	-1.289890	-0.874088	0.175072
ages	-0.319455	-0.297432	-1.340844
aggravate	2.080232	-2.744104	0.010639
aggravating	0.900809	-3.644431	0.010639
aggression	1.039588	-3.644431	-0.278153
aggressive	4.584466	-2.115523	0.175072
aghast	-0.031595	-3.644431	-1.340844
agitated	0.900809	-1.326004	0.175072
ago	-3.195724	-0.297432	-2.170380
agree	0.010809	3.530636	0.010639
agreeable	0.337182	3.820782	0.010639
agreed	-0.031595	3.530636	-1.340844
agreement	0.148749	2.763584	0.538300
agreements	-0.211108	0.551470	0.010639
agrees	-0.319455	1.620145	-0.278153
agricultural	-2.298518	-0.008248	-0.044999
agriculture	-1.930160	1.026312	0.175072
ah	-0.778214	1.620145	-0.710102
ahead	-0.211108	-0.417683	-0.278153
aid	-0.319455	0.669604	-0.278153
aided	-0.093515	2.250380	-0.044999
aids	0.379670	-0.238684	0.538300
aim	-0.014752	2.763584	-0.044999
aimed	-0.319455	0.132305	0.175072
aims	0.004722	1.620145	-0.278153
ain't	-0.778214	-2.509878	-2.170380
air	-1.289890	0.132305	0.538300
aircraft	-0.093515	0.006343	1.861138
airplane	-0.031595	-0.596989	1.100322
airplanes	-0.014752	-0.081564	2.820747
airport	-0.031595	-0.155062	2.820747
akin	-3.360064	-0.008248	-2.170380
alarm	1.039588	-3.644431	1.100322
alarmed	1.786400	-3.644431	-0.044999
alarming	3.477280	-3.644431	0.010639
alas	-2.517232	0.132305	-2.170380
alcohol	0.797123	-0.081564	2.820747
alcoholic	0.653476	-3.644431	2.820747
alert	2.734141	0.132305	0.175072
alien	-0.014752	-0.874088	2.820747
alienation	-0.093515	-3.644431	0.010639
alike	-1.508064	0.868498	-0.710102
alive	2.734141	3.530636	0.538300
all	-1.289890	0.132305	-1.340844
alleged	-3.360064	-2.115523	-1.340844
alliance	-2.298518	0.669604	-0.278153
allied	-1.046833	1.257212	-0.710102
allies	-0.395133	0.001518	0.175072
allocation	-1.195496	0.132305	-1.340844
allotment	-0.450163	-0.019958	-1.340844
allotted	-3.195724	-0.596989	-1.340844
allow	-4.622537	1.257212	-0.710102
allowance	-2.032228	2.250380	1.100322
allowances	-0.000019	3.820782	-0.044999
allowed	-1.437902	0.132305	0.010639
allowing	-1.130421	-0.041802	-0.710102
allows	0.017453	0.132305	-0.278153
almost	-0.211108	-0.596989	-0.044999
alone	-0.995083	-3.644431	0.175072
along	-0.778214	0.001518	0.010639
alongside	-1.508064	0.006343	0.175072
aloud	0.010809	0.132305	-0.044999
already	-0.778214	-0.019958	-0.710102
alright	-0.778214	0.669604	-0.278153
also	-1.437902	-0.008248	-1.340844
alter	0.148749	-0.041802	1.100322
altered	0.356293	-0.155062	0.010639
alternate	0.148749	0.001518	-0.044999
alternative	-0.140645	-0.081564	-0.044999
alternatives	-0.093515	0.006343	-0.044999
alters	0.017453	-0.372557	0.538300
although	-0.287614	0.006343	-0.710102
altogether	0.445416	2.250380	0.175072
aluminum	-1.130421	-0.596989	2.820747
always	-1.702669	0.132305	-0.710102
am	-1.130421	0.868498	-2.170380
amateur	-0.114763	-3.644431	1.100322
amazed	2.080232	2.645480	0.010639
amazement	1.314201	1.789844	0.175072
amazing	0.148749	0.868498	-0.278153
ambassador	0.017453	0.474057	1.861138
ambiguity	-2.298518	-0.999857	-0.710102
ambiguous	-0.287614	-0.596989	-0.710102
ambition	0.148749	0.669604	-0.044999
ambitions	1.039588	4.760949	-0.278153
ambitious	2.734141	0.419690	-0.710102
amen	1.514929	2.250380	0.538300
amended	-0.778214	-0.155062	-2.170380
amendment	-0.395133	-0.297432	-0.278153
amends	-0.211108	0.868498	-0.278153
american	0.148749	-0.372557	2.820747
amiably	-0.778214	0.669604	-1.340844
amid	0.148749	-0.019958	-2.170380
ammunition	1.514929	-3.644431	1.100322
amnesia	-0.319455	-3.644431	0.538300
among	-0.211108	-0.000229	-0.278153
amount	-0.031595	-0.155062	1.861138
amounts	0.148749	-0.372557	1.100322
ample	0.445416	1.257212	-0.044999
amputate	6.243345	-3.644431	2.820747
amusing	3.882810	6.951213	1.100322
an	-0.778214	-0.596989	-2.170380
anaemia	0.148749	-0.999857	-2.170380
analogy	-0.491564	-0.372557	-1.340844
analyses	1.514929	-0.596989	-1.340844
analysis	0.148749	0.132305	-0.710102
analytic	-0.491564	-0.874088	-2.170380
analyze	2.168184	-0.081564	-2.170380
analyzed	0.653476	-0.155062	-2.170380
anchor	0.000544	-0.081564	2.820747
anchored	-0.587968	-0.065561	0.175072
ancient	-1.130421	-0.081564	1.861138
and	-0.549348	-0.155062	-2.170380
and/or	0.000544	-0.081564	-2.170380
angel	1.514929	5.096954	2.820747
angels	1.514929	1.257212	2.820747
anger	6.967768	-3.644431	0.010639
angered	0.004722	-3.644431	0.010639
angle	0.148749	-0.081564	1.861138
angles	-2.298518	-0.596989	1.100322
anglican	0.010809	0.379756	-0.278153
anglo-saxon	-0.031595	0.012373	-0.278153
angrier	6.782935	-3.644431	0.175072
angry	2.734141	-3.644431	1.861138
angular	-0.211108	-1.326004	-2.170380
animal	1.039588	0.868498	2.820747
animals	2.734141	1.478728	2.820747
annihilate	2.287776	-2.744104	-0.278153
anniversary	0.148749	6.951213	0.538300
